,0,1
0,2020-1-1T00:00:00Z,2020-1-2T00:00:00Z
1,2020-1-2T00:00:00Z,2020-1-3T00:00:00Z
2,2020-1-3T00:00:00Z,2020-1-4T00:00:00Z
3,2020-1-4T00:00:00Z,2020-1-5T00:00:00Z
4,2020-1-5T00:00:00Z,2020-1-6T00:00:00Z
5,2020-1-6T00:00:00Z,2020-1-7T00:00:00Z
6,2020-1-7T00:00:00Z,2020-1-8T00:00:00Z
7,2020-1-8T00:00:00Z,2020-1-9T00:00:00Z
8,2020-1-9T00:00:00Z,2020-1-10T00:00:00Z
9,2020-1-10T00:00:00Z,2020-1-11T00:00:00Z
10,2020-1-11T00:00:00Z,2020-1-12T00:00:00Z
11,2020-1-12T00:00:00Z,2020-1-13T00:00:00Z
12,2020-1-13T00:00:00Z,2020-1-14T00:00:00Z
13,2020-1-14T00:00:00Z,2020-1-15T00:00:00Z
14,2020-1-15T00:00:00Z,2020-1-16T00:00:00Z
15,2020-1-16T00:00:00Z,2020-1-17T00:00:00Z
16,2020-1-17T00:00:00Z,2020-1-18T00:00:00Z
17,2020-1-18T00:00:00Z,2020-1-19T00:00:00Z
18,2020-1-19T00:00:00Z,2020-1-20T00:00:00Z
19,2020-1-20T00:00:00Z,2020-1-21T00:00:00Z
20,2020-1-21T00:00:00Z,2020-1-22T00:00:00Z
21,2020-1-22T00:00:00Z,2020-1-23T00:00:00Z
22,2020-1-23T00:00:00Z,2020-1-24T00:00:00Z
23,2020-1-24T00:00:00Z,2020-1-25T00:00:00Z
24,2020-1-25T00:00:00Z,2020-1-26T00:00:00Z
25,2020-1-26T00:00:00Z,2020-1-27T00:00:00Z
26,2020-1-27T00:00:00Z,2020-1-28T00:00:00Z
27,2020-1-28T00:00:00Z,2020-1-29T00:00:00Z
28,2020-1-29T00:00:00Z,2020-1-30T00:00:00Z
29,2020-1-30T00:00:00Z,2020-1-31T00:00:00Z
30,2020-1-31T00:00:00Z,2020-2-1T00:00:00Z
31,2020-2-1T00:00:00Z,2020-2-2T00:00:00Z
32,2020-2-2T00:00:00Z,2020-2-3T00:00:00Z
33,2020-2-3T00:00:00Z,2020-2-4T00:00:00Z
34,2020-2-4T00:00:00Z,2020-2-5T00:00:00Z
35,2020-2-5T00:00:00Z,2020-2-6T00:00:00Z
36,2020-2-6T00:00:00Z,2020-2-7T00:00:00Z
37,2020-2-7T00:00:00Z,2020-2-8T00:00:00Z
38,2020-2-8T00:00:00Z,2020-2-9T00:00:00Z
39,2020-2-9T00:00:00Z,2020-2-10T00:00:00Z
40,2020-2-10T00:00:00Z,2020-2-11T00:00:00Z
41,2020-2-11T00:00:00Z,2020-2-12T00:00:00Z
42,2020-2-12T00:00:00Z,2020-2-13T00:00:00Z
43,2020-2-13T00:00:00Z,2020-2-14T00:00:00Z
44,2020-2-14T00:00:00Z,2020-2-15T00:00:00Z
45,2020-2-15T00:00:00Z,2020-2-16T00:00:00Z
46,2020-2-16T00:00:00Z,2020-2-17T00:00:00Z
47,2020-2-17T00:00:00Z,2020-2-18T00:00:00Z
48,2020-2-18T00:00:00Z,2020-2-19T00:00:00Z
49,2020-2-19T00:00:00Z,2020-2-20T00:00:00Z
50,2020-2-20T00:00:00Z,2020-2-21T00:00:00Z
51,2020-2-21T00:00:00Z,2020-2-22T00:00:00Z
52,2020-2-22T00:00:00Z,2020-2-23T00:00:00Z
53,2020-2-23T00:00:00Z,2020-2-24T00:00:00Z
54,2020-2-24T00:00:00Z,2020-2-25T00:00:00Z
55,2020-2-25T00:00:00Z,2020-2-26T00:00:00Z
56,2020-2-26T00:00:00Z,2020-2-27T00:00:00Z
57,2020-2-27T00:00:00Z,2020-2-28T00:00:00Z
58,2020-2-28T00:00:00Z,2020-2-29T00:00:00Z
59,2020-2-29T00:00:00Z,2020-3-1T00:00:00Z
60,2020-3-1T00:00:00Z,2020-3-2T00:00:00Z
61,2020-3-2T00:00:00Z,2020-3-3T00:00:00Z
62,2020-3-3T00:00:00Z,2020-3-4T00:00:00Z
63,2020-3-4T00:00:00Z,2020-3-5T00:00:00Z
64,2020-3-5T00:00:00Z,2020-3-6T00:00:00Z
65,2020-3-6T00:00:00Z,2020-3-7T00:00:00Z
66,2020-3-7T00:00:00Z,2020-3-8T00:00:00Z
67,2020-3-8T00:00:00Z,2020-3-9T00:00:00Z
68,2020-3-9T00:00:00Z,2020-3-10T00:00:00Z
